ID,Full Name,Genre,Contact Details,LocationID
120001,IU,K-pop,EDAM Entertainment,104
120002,NCT 127,K-pop,SM Entertainment,106
120003,789TRAINEE,T-pop,SONRAY MUSIC,103
120004,Ado,J-pop,Universal Music Japan,103
120005,NCT Dream,K-pop,SM Entertainment,101
120006,TWICE,K-pop,JYP Entertainment,101
120007,BRUNO MARS,R&B,Atlantic Records,102
120008,Wanna One,K-pop,Swing Entertainment,101
120009,JEFF SATUR,T-pop,Wayfer Records,113
120010,TREASURE,K-pop,YG Entertainment,101
120011,LANY,Dream pop,Polydor Records,104
120012,Maroon 5,Pop rock,Interscope Records,102
120013,JUSTIN BIEBER ,Teen pop,Def Jam Recordings,102
120014,Ed Sheeran,Pop ,Atlantic Records,102
120015,Coldplay ,Alternative rock,Parlophone,102
120016,SHAWN MENDES ,Pop,Island Records,101
120017,Ariana Grande ,Pop,Republic Records,101
120018,Billie Eilish ,electropop,Interscope Records,101
120019,TROYE SIVAN,Pop,EMI Australia,109
120020,The Weeknd ,R&B,XO,101
120021,SAM SMITH ,Pop,Capitol Records,101
120022,Charlie Puth ,Pop,Interscope Records,101
120023,Lauv,Dream pop,AWAL,111
120024,Cigarettes After Sex ,Dream pop,Partisan Records,112
120025,The 1975 ,Pop rock,Dirty Hit,101
120026,Why Don't We ,Pop,Atlantic Records,113
120027,Katy Perry WITNESS,Pop,Capitol Records,101
120028,HARRY STYLES ,Soft rock,Columbia Records,102
120029,SUPER JUNIOR ,K-pop,SM Entertainment,101
120030,Girls Generation ,K-pop,SM Entertainment,101
120031,SHINee ,K-pop,SM Entertainment,103
120032,EXO ,K-pop,SM Entertainment,101
120033,BTS ,K-pop,BigHit Music,102
120034,CNBLUE,K-pop,FNC Entertainment,108
120035,GOT7 ,K-pop,JYP Entertainment,107
120036,SEVENTEEN ,K-pop,Pledis Entertainment,102
120037,MONSTA X ,K-pop,Starship Entertainment,103
120038,DAY6 ,K-pop,JYP Entertainment,103
120039,STRAY KIDS ,K-pop,JYP Entertainment,101
120040,(G)I-DLE ,K-pop,Cube Entertainment,103
120041,WINNER ,K-pop,YG Entertainment,103
120042,Red Velvet ,K-pop,SM Entertainment,103
120043,THE BOYZ ,K-pop,Cre.ker Entertainment,103
120044,ENHYPEN ,K-pop,Belift Lab,101
120045,ITZY ,K-pop,JYP Entertainment,103
120046,TOMORROW X TOGETHER ,K-pop,BigHit Music,103
120047,aespa ,K-pop,SM Entertainment,103
120048,BLACKPINK ,K-pop,YG Entertainment,114
120049,FTISLAND ,K-pop,FNC Entertainment,105
120050,JBJ,K-pop,Fave Entertainment,103
120051,BIGBANG ,K-pop,YG Entertainment,101
120052,Billkin ,T-pop,Billkin Entertainment,101
120053,4EVE ,T-pop,Diversa Music,101
120054,Violette Wautier ,T-pop,Universal Music Thailand,103
120055,9x9 ,T-pop,4NOLOGUE,101
120056,INK WARUNTORN,T-pop,Boxx Music,101
120057,getsunova ,T-pop,Genie Records,113
120058,BODYSLAM ,T-pop,Genie Records,102
120059,NONT TANONT,T-pop,Genie Records,101
120060,Cocktail ,T-pop,Smallroom,113
120061,Tilly Birds,T-pop,Boxx Music,115
